Mouse,Time_Compare,Diet,Treatment,W_Uni_Dist,U_Uni_Dist,TreatDiet
38,3,CD,BBS,0.51821804,0.159819037,BBS - CD
39,1,CD,BBS,0.546472549,0.297754347,BBS - CD
39,2,CD,BBS,0.492971182,0.219563171,BBS - CD
39,3,CD,BBS,0.329055607,0.203010306,BBS - CD
4,1,WD,BBS,0.758072495,0.378479242,BBS - WD
4,2,WD,BBS,0.254807681,0.344074786,BBS - WD
4,3,WD,BBS,0.282421917,0.272208869,BBS - WD
40,1,CD,BBS,0.203683183,0.2822285,BBS - CD
40,2,CD,BBS,0.217160359,0.235854328,BBS - CD
40,3,CD,BBS,0.279737055,0.291049719,BBS - CD
41,1,WD,MV,0.578830779,0.462537169,M. vaccae - WD
41,2,WD,MV,0.30115065,0.161221087,M. vaccae - WD
41,3,WD,MV,0.229958981,0.080918372,M. vaccae - WD
42,1,WD,MV,0.854348898,0.416598409,M. vaccae - WD
42,2,WD,MV,0.202858955,0.258472681,M. vaccae - WD
42,3,WD,MV,0.13179706,0.072995387,M. vaccae - WD
43,1,WD,MV,0.915876269,0.386703044,M. vaccae - WD
43,2,WD,MV,0.33194834,0.209474325,M. vaccae - WD
43,3,WD,MV,0.276181459,0.1175102,M. vaccae - WD
44,1,WD,MV,0.740370631,0.400612354,M. vaccae - WD
44,2,WD,MV,0.276163012,0.202445179,M. vaccae - WD
44,3,WD,MV,0.249353483,0.192144617,M. vaccae - WD
45,1,CD,MV,0.408857554,0.241006017,M. vaccae - CD
45,2,CD,MV,0.203571036,0.173591942,M. vaccae - CD
45,3,CD,MV,0.204817951,0.149730518,M. vaccae - CD
46,1,CD,MV,0.414944023,0.296817303,M. vaccae - CD
46,2,CD,MV,0.397978216,0.300606728,M. vaccae - CD
46,3,CD,MV,0.479224712,0.212324962,M. vaccae - CD
47,1,CD,MV,0.394426793,0.328496665,M. vaccae - CD
47,2,CD,MV,0.201318219,0.346173912,M. vaccae - CD
47,3,CD,MV,0.649849296,0.372410715,M. vaccae - CD
48,1,CD,MV,0.851795256,0.344797939,M. vaccae - CD
48,2,CD,MV,0.558708966,0.344456464,M. vaccae - CD
48,3,CD,MV,0.257991493,0.320269972,M. vaccae - CD
5,1,CD,BBS,0.581064105,0.416465133,BBS - CD
5,2,CD,BBS,0.178335339,0.240670696,BBS - CD
5,3,CD,BBS,0.303456604,0.192421377,BBS - CD
6,1,CD,BBS,0.355504096,0.441876292,BBS - CD
6,2,CD,BBS,0.413313121,0.288447559,BBS - CD
6,3,CD,BBS,0.15720956,0.155484989,BBS - CD
7,1,CD,BBS,0.59423399,0.483324528,BBS - CD
7,2,CD,BBS,0.541221678,0.2887519,BBS - CD
7,3,CD,BBS,0.276121348,0.116308175,BBS - CD
8,1,CD,BBS,0.515015721,0.215445608,BBS - CD
8,2,CD,BBS,0.192448065,0.186378464,BBS - CD
8,3,CD,BBS,0.234370396,0.120837472,BBS - CD
