Mouse_Food,Time,Diet,Treatment,calories,Water_weight,Ratio_cal_weight,Ratio_wat_bodyweight
7,three,CD,BBS,105,27,4.2,1.08
8,three,CD,BBS,87,23,3.625,0.958333333
21,three,CD,BBS,87,24,3.782608696,1.043478261
22,three,CD,BBS,90,26,3.75,1.083333333
23,three,CD,BBS,90,25,3.461538462,0.961538462
24,three,CD,BBS,96,26,3.84,1.04
37,three,CD,BBS,93,18,4.043478261,0.782608696
38,three,CD,BBS,87,13,3.346153846,0.5
39,three,CD,BBS,87,15,3.48,0.6
40,three,CD,BBS,75,16,3.125,0.666666667
9,three,WD,ATCC,81,17,3.375,0.708333333
10,three,WD,ATCC,103.5,22,3.833333333,0.814814815
11,three,WD,ATCC,81,18,3.24,0.72
12,three,WD,ATCC,117,20,3.65625,0.625
25,three,WD,ATCC,85.5,21,3.288461538,0.807692308
26,three,WD,ATCC,81,17,3.375,0.708333333
27,three,WD,ATCC,90,16,4.285714286,0.761904762
28,three,WD,ATCC,90,20,3.6,0.8
41,three,WD,ATCC,81,21,3.681818182,0.954545455
42,three,WD,ATCC,81,11,3.857142857,0.523809524
43,three,WD,ATCC,90,14,3.461538462,0.538461538
44,three,WD,ATCC,85.5,13,3.42,0.52
13,three,CD,ATCC,96,26,3.84,1.04
14,three,CD,ATCC,,,,
15,three,CD,ATCC,93,24,3.444444444,0.888888889
16,three,CD,ATCC,81,33,3.375,1.375
29,three,CD,ATCC,93,22,4.043478261,0.956521739
30,three,CD,ATCC,,,,
31,three,CD,ATCC,96,27,3.692307692,1.038461538
32,three,CD,ATCC,87,23,3.954545455,1.045454545
45,three,CD,ATCC,87,14,3.782608696,0.608695652
46,three,CD,ATCC,84,14,3.36,0.56
47,three,CD,ATCC,78,13,3.25,0.541666667
48,three,CD,ATCC,93,18,3.444444444,0.666666667
1,four,WD,BBS,99,24,3.413793103,0.827586207
2,four,WD,BBS,90,18,3.214285714,0.642857143
3,four,WD,BBS,72,13,3.130434783,0.565217391
4,four,WD,BBS,76.5,17,3.326086957,0.739130435
17,four,WD,BBS,103.5,24,3.45,0.8
18,four,WD,BBS,99,20,3.3,0.666666667
19,four,WD,BBS,108,17,3.375,0.53125
20,four,WD,BBS,103.5,21,3.980769231,0.807692308
33,four,WD,BBS,108,20,4,0.740740741
34,four,WD,BBS,94.5,20,3.5,0.740740741
35,four,WD,BBS,94.5,17,3.375,0.607142857
36,four,WD,BBS,94.5,27,3.15,0.9
5,four,CD,BBS,87,23,3.222222222,0.851851852
6,four,CD,BBS,84,25,3.36,1
7,four,CD,BBS,93,27,3.576923077,1.038461538
8,four,CD,BBS,84,22,3.230769231,0.846153846
21,four,CD,BBS,84,26,3.652173913,1.130434783
22,four,CD,BBS,96,26,3.692307692,1
23,four,CD,BBS,93,26,3.444444444,0.962962963
24,four,CD,BBS,96,25,3.555555556,0.925925926
37,four,CD,BBS,84,25,3.5,1.041666667
38,four,CD,BBS,84,32,3.111111111,1.185185185
39,four,CD,BBS,102,23,3.777777778,0.851851852
40,four,CD,BBS,84,23,3.36,0.92
9,four,WD,ATCC,81,18,3.115384615,0.692307692
10,four,WD,ATCC,99,22,3.413793103,0.75862069
11,four,WD,ATCC,90,14,3.333333333,0.518518519
12,four,WD,ATCC,108,19,3.085714286,0.542857143
25,four,WD,ATCC,85.5,22,3.053571429,0.785714286
26,four,WD,ATCC,85.5,16,3.5625,0.666666667
27,four,WD,ATCC,85.5,17,3.886363636,0.772727273
28,four,WD,ATCC,94.5,18,3.5,0.666666667
41,four,WD,ATCC,85.5,18,3.886363636,0.818181818
42,four,WD,ATCC,76.5,18,3.326086957,0.782608696
43,four,WD,ATCC,103.5,19,3.696428571,0.678571429
44,four,WD,ATCC,90,18,3.461538462,0.692307692
13,four,CD,ATCC,84,25,3.230769231,0.961538462
14,four,CD,ATCC,,,,
15,four,CD,ATCC,87,24,3.107142857,0.857142857
16,four,CD,ATCC,81,29,3.24,1.16
29,four,CD,ATCC,87,24,3.625,1
30,four,CD,ATCC,,,,
31,four,CD,ATCC,90,24,3.214285714,0.857142857
32,four,CD,ATCC,84,23,3.5,0.958333333
45,four,CD,ATCC,99,23,4.125,0.958333333
