firm_sums,ID,bac_sums,firm_bac_ratio
26540,45-3-2,16847,1.575354663
23621,45-3-3,19298,1.224012851
28475,45-3-4,27380,1.039992695
27759,46-3-1,17225,1.611552975
30546,46-3-2,13557,2.253153353
28096,46-3-3,13956,2.013184293
22025,46-3-4,18094,1.217254338
17113,47-3-1,11592,1.476276743
16116,47-3-2,14636,1.101120525
8124,47-3-3,8443,0.962217221
34789,47-3-4,13989,2.486882551
33627,48-3-1,21905,1.535128966
19151,48-3-2,28037,0.683061669
30994,48-3-3,29117,1.064464059
23873,48-3-4,31482,0.758306334
25649,5/1/2001,24137,1.062642416
28716,5/1/2002,20495,1.401122225
19382,5/1/2003,12764,1.518489502
32429,5/1/2004,32628,0.993900944
27069,6/1/2001,23857,1.134635537
34588,6/1/2002,25447,1.359217197
38513,6/1/2003,29032,1.326570681
36067,6/1/2004,23923,1.507628642
11644,7/1/2001,19513,0.596730385
16765,7/1/2002,18988,0.882926059
18916,7/1/2003,14599,1.295705185
16114,7/1/2004,13899,1.159363983
43451,8/1/2001,21745,1.998206484
24499,8/1/2002,22349,1.096201172
29489,8/1/2003,35627,0.827714935
37168,8/1/2004,30502,1.218543046
25672,9/1/2001,16270,1.577873387
43187,9/1/2002,15072,2.865379512
40864,9/1/2003,7124,5.736103313
24439,9/1/2004,5783,4.226007263
7843,DNA-BL-1,9265,0.846519158
51665,DNA-BL-10,22691,2.276893923
904,DNA-BL-11,3397,0.266117162
7400,DNA-BL-12,6342,1.166824346
10412,DNA-BL-13,72,144.6111111
1284,DNA-BL-2,2289,0.560943644
2818,DNA-BL-3,1852,1.521598272
1928,DNA-BL-4,3400,0.567058824
11230,DNA-BL-5,1723,6.517701683
3078,DNA-BL-6,31,99.29032258
4599,DNA-BL-7,49,93.85714286
9060,DNA-BL-8,1921,4.716293597
13234,DNA-BL-9,3118,4.244387428
1074,PCR-BL-1,26,41.30769231
31018,PCR-BL-10,2778,11.16558675
28522,PCR-BL-11,13124,2.173270344
17077,PCR-BL-12,21518,0.793614648
88,PCR-BL-2,208,0.423076923
792,PCR-BL-3,178,4.449438202
1091,PCR-BL-4,289,3.775086505
16988,PCR-BL-5,1962,8.658511723
4880,PCR-BL-6,105,46.47619048
3247,PCR-BL-7,46,70.58695652
26335,PCR-BL-8,8966,2.937207227
44047,PCR-BL-9,12028,3.662038577
