"SampleID","Plate","Timepoint","Cohort","Mouse","Treatment","Diet","Weight_group","Shannon","Faith","Evenness"
"13-1-3","2","3","1","13","ATCC","CD","Low",4.07630967796249,41.7591702159521,0.571769933704955
"13-1-4","2","4","1","13","ATCC","CD","Low",5.67552603311197,43.3946202076835,0.777066868351502
"32-2-1","2","1","2","32","ATCC","CD","Low",3.58517985176908,27.3000352144322,0.581073489698981
"32-2-2","2","2","2","32","ATCC","CD","Low",3.81870229051849,34.0744554193387,0.571106257300659
"32-2-3","2","3","2","32","ATCC","CD","Low",3.73114716924389,32.5386256922697,0.569241985069576
"32-2-4","2","4","2","32","ATCC","CD","Low",4.63194635535139,37.2788207040452,0.659598938517268
"24-2-1","2","1","2","24","BBS","CD","Medium",4.44608203855863,24.1035947189092,0.72784877428544
"24-2-2","2","2","2","24","BBS","CD","Medium",3.91899056010633,32.8989349095529,0.592465981496205
"24-2-3","2","3","2","24","BBS","CD","Medium",4.23616385362092,36.7197517848875,0.622292197501653
"24-2-4","2","4","2","24","BBS","CD","Medium",3.67239132549226,33.9283555357263,0.551558227762162
"6-1-1","3","1","1","6","BBS","CD","Low",3.71252205017773,22.3666261191819,0.63109762381052
"6-1-2","3","2","1","6","BBS","CD","Low",4.49446926695854,33.6624730516576,0.657769883261899
"6-1-3","3","3","1","6","BBS","CD","Low",4.83690828281992,37.409507103788,0.687703310573331
"6-1-4","3","4","1","6","BBS","CD","Low",4.87693620729498,37.0090972428221,0.695589520867779
"21-2-1","3","1","2","21","BBS","CD","Low",4.51962125749039,27.3196092154053,0.703304552490369
"21-2-2","3","2","2","21","BBS","CD","Low",3.85190976619623,33.0605678778092,0.57977019010805
"21-2-3","3","3","2","21","BBS","CD","Low",4.15628687528206,35.3665566077386,0.609410236620862
"21-2-4","3","4","2","21","BBS","CD","Low",4.88919434705437,38.6587806874923,0.680015806646605
"37-3-1","3","1","3","37","BBS","CD","Low",4.33442883142053,42.7868881339565,0.605378033702324
"37-3-2","3","2","3","37","BBS","CD","Low",4.33248958150063,43.2330068623273,0.602586272588482
"37-3-3","3","3","3","37","BBS","CD","Low",3.90004221767034,42.4324351256474,0.548643004801305
"37-3-4","3","4","3","37","BBS","CD","Low",3.97955970361313,44.7803907712113,0.544184793869491
"45-3-1","3","1","3","45","ATCC","CD","Low",4.15382476504769,32.7247816235971,0.629375700008663
"45-3-2","3","2","3","45","ATCC","CD","Low",4.75643921996218,35.1153302645479,0.697406805037534
"45-3-3","3","3","3","45","ATCC","CD","Low",4.71122388214578,37.4703722549165,0.679757961192976
"45-3-4","3","4","3","45","ATCC","CD","Low",4.78878777149188,41.5508914941039,0.666970530051923
"1-1-1","1","1","1","1","BBS","WD","High",3.51545817825442,18.103534749731,0.632892599637263
"1-1-2","1","2","1","1","BBS","WD","High",4.79846692533228,27.1470917094686,0.75476644498491
"1-1-3","1","3","1","1","BBS","WD","High",4.33436387179222,28.010888893635,0.681766168588754
"1-1-4","1","4","1","1","BBS","WD","High",4.67996098869578,27.6699749796153,0.734106986959764
"10-1-1","1","1","1","10","ATCC","WD","High",4.28355544136007,28.2845967887449,0.670109939487015
"10-1-2","1","2","1","10","ATCC","WD","High",4.84334240864672,28.2227388612918,0.742438324533695
"10-1-3","1","3","1","10","ATCC","WD","High",4.77621572166328,27.691819075883,0.751266480902378
"10-1-4","1","4","1","10","ATCC","WD","High",4.7323353161922,23.2729887680789,0.794789937969767
"12-1-1","1","1","1","12","ATCC","WD","High",3.70337700928612,21.939997846201,0.634912882000645
"12-1-2","1","2","1","12","ATCC","WD","High",4.38478883204789,26.4248202800378,0.68055677267278
"12-1-3","1","3","1","12","ATCC","WD","High",4.60796332685502,27.5134205835787,0.711573967022814
"12-1-4","1","4","1","12","ATCC","WD","High",4.91631675174375,28.3346479839202,0.748314277335043
"34-3-1","1","1","3","34","BBS","WD","Medium",3.80654970120987,23.6104014560181,0.632068618089881
"34-3-2","1","2","3","34","BBS","WD","Medium",4.45064647636134,28.4410094809195,0.679012303757573
"34-3-3","1","3","3","34","BBS","WD","Medium",4.56228422327264,24.8684959792571,0.730207610996771
"34-3-4","1","4","3","34","BBS","WD","Medium",4.66785776677183,27.584814755732,0.719033178586699
"2-1-1","1","1","1","2","BBS","WD","Medium",4.5929222424474,43.0495066880923,0.642389467162804
"2-1-2","1","2","1","2","BBS","WD","Medium",4.85231387929353,35.3445719600694,0.708833676359536
"2-1-3","1","3","1","2","BBS","WD","Medium",4.84776938019909,31.9291519493769,0.723500185677965
"2-1-4","1","4","1","2","BBS","WD","Medium",4.89635587062004,31.6499456134844,0.723437134047235
"42-3-1","1","1","3","42","ATCC","WD","Low",4.18800201050857,36.7572512320142,0.623748714504012
"42-3-2","1","2","3","42","ATCC","WD","Low",5.07879215518087,33.8787986567936,0.730320504124268
"42-3-3","1","3","3","42","ATCC","WD","Low",5.10335058892337,31.3922324928028,0.740171932618989
"42-3-4","1","4","3","42","ATCC","WD","Low",5.05138635396529,30.481835490379,0.742048330343036
"27-2-1","1","1","2","27","ATCC","WD","Low",4.84231318598191,36.2515219710251,0.706084369353349
"27-2-2","1","2","2","27","ATCC","WD","Low",4.73818623133507,33.5472180677203,0.694730483972105
"27-2-3","1","3","2","27","ATCC","WD","Low",4.92902580067429,28.8630368984206,0.753770621429377
"27-2-4","1","4","2","27","ATCC","WD","Low",4.96215341337013,30.8401865456984,0.742115160717785
"17-2-1","1","1","2","17","BBS","WD","High",3.73046978362046,20.6218455971114,0.660978887162142
"17-2-2","1","2","2","17","BBS","WD","High",4.46600295539498,27.8411803015237,0.69679053749313
"17-2-3","1","3","2","17","BBS","WD","High",4.6386641571506,26.5030190124883,0.733741998885111
"17-2-4","1","4","2","17","BBS","WD","High",4.82448894709877,28.4746246091975,0.741340071995797
"36-3-1","1","1","3","36","BBS","WD","High",3.78465440038244,24.659415127194,0.611431610763978
"36-3-2","1","2","3","36","BBS","WD","High",5.08431070361843,29.8673256851581,0.758802543936471
"36-3-4","1","3","3","36","BBS","WD","High",4.24539960883723,26.4145088375236,0.669637232254009
"36-3-3","1","4","3","36","BBS","WD","High",4.66192568249912,28.6008245297957,0.712924371033768
"3-1-1","2","1","1","3","BBS","WD","Low",3.85270325369964,19.1515014960601,0.693607277978102
"3-1-2","2","2","1","3","BBS","WD","Low",4.7695122459535,35.2748607152144,0.7074887788629
