"taxon","lfc_(Intercept)","lfc_Treat_DietBBS_WD","lfc_Treat_DietMv_CD","lfc_Treat_DietMv_WD","lfc_Timepoint","se_(Intercept)","se_Treat_DietBBS_WD","se_Treat_DietMv_CD","se_Treat_DietMv_WD","se_Timepoint","W_(Intercept)","W_Treat_DietBBS_WD","W_Treat_DietMv_CD","W_Treat_DietMv_WD","W_Timepoint","p_(Intercept)","p_Treat_DietBBS_WD","p_Treat_DietMv_CD","p_Treat_DietMv_WD","p_Timepoint","q_(Intercept)","q_Treat_DietBBS_WD","q_Treat_DietMv_CD","q_Treat_DietMv_WD","q_Timepoint","diff_(Intercept)","diff_Treat_DietBBS_WD","diff_Treat_DietMv_CD","diff_Treat_DietMv_WD","diff_Timepoint","passed_ss_(Intercept)","passed_ss_Treat_DietBBS_WD","passed_ss_Treat_DietMv_CD","passed_ss_Treat_DietMv_WD","passed_ss_Timepoint","name","nickname"
"6ce9579c5b3987d6d0e6b18638b7ecae",-2.90034853586595,2.02767576934668,0.0836355577083973,2.54418486263022,0.718167652631531,0.477812152449204,0.477998631404416,0.473240242298995,0.484494913398709,0.118730370675683,-6.07006021299193,4.24201166306508,0.176729597850971,5.25121067790553,6.04872745317401,2.35347655471779e-08,0.000144886328022553,0.86063715794026,6.64499947325858e-06,1.73735165176255e-08,7.6319882560134e-07,0.00205557477881997,1,0.000137128625493609,1.31459608316699e-06,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__A2","A2_genus"
"20cf68b1bf67f8fbea2adc400bdb37bf",2.07252060348617,-1.67000230286249,-0.0305403839345754,-1.46049416054407,-0.448397200083273,0.326195237973618,0.296722478249276,0.268718936214428,0.299677212936256,0.0873816819007179,6.35362004780029,-5.62816242542813,-0.113651774470427,-4.87355760631267,-5.13147824955735,1.79884599976926e-09,7.21898677605969e-08,0.909645626349097,2.46577659130851e-06,7.66273673779739e-07,8.16676083895245e-08,5.37981221617052e-06,1,9.32885477045053e-05,1.33803172267693e-05,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales","Muribaculaceae_genus"
"775726f6788faf7d9f7149bc11321159",2.14227161349878,-1.65554840864778,-0.0369829489773467,-1.53752073389324,-0.468193190778658,0.325657400571562,0.297175257521353,0.268551982313073,0.298041329405442,0.0871287053411515,6.57829857309822,-5.57094968960805,-0.137712440842208,-5.15875008664207,-5.37358140403272,5.37183891964997e-10,9.47984531483791e-08,0.890626917329523,6.7206218190813e-07,2.45155462859442e-07,3.04851858690136e-08,5.37981221617052e-06,1,3.81395288232864e-05,6.1833655632326e-06,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_Bacteroidales","Muribaculaceae_genus"
"10db3030c45c539025d2f4ff1a39c5a2",-1.92934182194391,1.4749458716052,0.261758479789363,1.86820781216222,0.327045322318401,0.381721815385643,0.319131770148971,0.311652559668286,0.319154360744808,0.097690590745605,-5.05431375462456,4.6217456535797,0.839904796764612,5.85361831748877,3.34776686088486,1.80182848568724e-06,4.55964801090571e-05,0.405575538973816,1.25028381018127e-06,0.00119987334436743,4.09015066251002e-05,0.0010350400984756,1,5.67628849822296e-05,0.0069838781838822,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured; s__uncultured_bacterium","Lachnospiraceae_family"
"1d86c8acf27fdf09c1aa3c829f3ffe63",3.01797300845761,-2.45712117971844,-0.014115314862319,-2.23727980186613,-0.664230110898968,0.364505525447469,0.332915780518149,0.307301830126788,0.335354805674389,0.0992019675004134,8.27963582925866,-7.38060892125384,-0.0459330647542685,-6.67138136686911,-6.69573525239003,3.0762985889726e-14,6.11319215142999e-12,0.96341597362504,3.20760343481764e-10,2.80975174910297e-10,6.98319779696779e-12,6.93847309187304e-10,1,3.64062989851803e-08,6.37813647046374e-08,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__uncultured_bacterium","Muribaculaceae_genus"
"34f5559fe394f9d17a6242362f1ce264",-1.50193512847282,1.20717837967897,-0.144729770801827,1.22101577623415,0.374837528308838,0.3213383101194,0.291559983643629,0.261943730330462,0.28814269986804,0.0840711847344561,-4.67399958602741,4.14041174166923,-0.552522370431387,4.23753847240738,4.45857316621366,8.40431959623122e-06,0.000221622452664111,0.583860437266219,0.000165225453544523,2.06618908783879e-05,0.000127185369889632,0.00264780509235543,1,0.00170482627066395,0.000234512461469703,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured; s__uncultured_bacterium","Ruminococcaceae_family"
"fb58f60670ad511d73ddad27885b6e8d",-1.77545505029188,1.7074033281504,-0.0972613577333796,1.70426566152758,0.360744448801425,0.339689294501812,0.310423642886887,0.286971512546349,0.307450763995286,0.0899499730256337,-5.22670298719823,5.50023610402816,-0.338923389539131,5.54321491799484,4.01050091141907,8.47928405387034e-07,2.82970945252714e-06,0.73658025328367,3.80740298413552e-06,0.000113029734334458,2.40599685028571e-05,0.000107057340953944,1,0.000104780773865319,0.00102630998775688,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-006; s__uncultured_bacterium","Lachnospiraceae_UCG_genus"
"4ebe769c5cd8453686425d17e93fdf37",2.23097084763811,-1.57392770362241,0.012090604292744,-1.66928544994799,-0.588109382375478,0.371504868317639,0.350588660534009,0.303646685646486,0.34856769066658,0.103785005739475,6.00522641262029,-4.4893856556143,0.0398180018563424,-4.78898502255257,-5.66661222577542,1.43175783300175e-08,1.43347236499269e-05,0.968292251467557,4.05106003842299e-06,7.44302821624633e-08,5.41681713485664e-07,0.000361553585392601,1,0.000104780773865319,2.69775991093742e-06,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_xylanophilum_group; s__uncultured_bacterium","Lachnospiraceae_family"
"6db1aee9225c751a98c5303ae3c6936b",-3.54010397484496,2.42675067613069,0.345675587593856,2.83200055136956,0.781337835404452,0.453800995056141,0.410561281710562,0.40582493389727,0.42058322239858,0.119381207009532,-7.80100531601303,5.91081230558293,0.851784990819118,6.73350813952754,6.54489810395421,4.19747635057395e-12,5.69005166884878e-07,0.398953220260319,3.5111381652801e-08,2.47303631325345e-09,3.17609043860096e-10,2.58328345765735e-05,1,2.65676121172861e-06,2.80689621554267e-07,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__Lachnospiraceae_bacterium","Lachnospiraceae_bacterium"
"22a62a1d06aa3f87a8c1775f22c8a394",-2.2986825625623,1.44376218612761,0.141313547944492,1.66352458576643,0.408901766431058,0.453448088091272,0.379956792693397,0.390008046984235,0.377792733967624,0.109699928840585,-5.06934006985958,3.79980622505319,0.362334954463655,4.40327310770618,3.72745698883061,3.05288951604885e-06,0.000302876251214018,0.718178041384535,3.6902143237533e-05,0.00038541599752622,5.33081477033146e-05,0.00343764545127911,1,0.000558452434327999,0.00278239473058502,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__uncultured; s__uncultured_bacterium","Lachnospiraceae_family"
