"","1-1-1","1-1-2","1-1-3","1-1-4","10-1-1","10-1-2","10-1-3","10-1-4","11-1-1","11-1-2","11-1-3","11-1-4","12-1-1","12-1-2","12-1-3","12-1-4","13-1-1","13-1-2","13-1-3","13-1-4","15-1-1","15-1-2","15-1-3","15-1-4","16-1-1","16-1-2","16-1-3","16-1-4","17-2-1","17-2-2","17-2-3","17-2-4","18-2-1","18-2-2","18-2-3","18-2-4","19-2-1","19-2-2","19-2-3","19-2-4","2-1-1","2-1-2","2-1-3","2-1-4","20-2-1","20-2-2","20-2-3","20-2-4","21-2-1","21-2-2","21-2-3","21-2-4","22-2-1","22-2-2","22-2-3","22-2-4","23-2-1","23-2-2","23-2-3","23-2-4","24-2-1","24-2-2","24-2-3","24-2-4","25-2-1","25-2-2","25-2-3","25-2-4","26-2-1","26-2-2","26-2-3","26-2-4","27-2-1","27-2-2","27-2-3","27-2-4","28-2-1","28-2-2","28-2-3","28-2-4","29-2-1","29-2-2","29-2-3","29-2-4","3-1-1","3-1-2","3-1-3","3-1-4","31-2-1","31-2-2","31-2-3","31-2-4","32-2-1","32-2-2","32-2-3","32-2-4","33-3-1","33-3-2","33-3-3","33-3-4","34-3-1","34-3-2","34-3-3","34-3-4","35-3-1","35-3-2","35-3-3","35-3-4","36-3-1","36-3-2","36-3-3","36-3-4","37-3-1","37-3-2","37-3-3","37-3-4","38-3-1","38-3-2","38-3-3","38-3-4","39-3-1","39-3-2","39-3-3","39-3-4","4-1-1","4-1-2","4-1-3","4-1-4","40-3-1","40-3-2","40-3-3","40-3-4","41-3-1","41-3-2","41-3-3","41-3-4","42-3-1","42-3-2","42-3-3","42-3-4","43-3-1","43-3-2","43-3-3","43-3-4","44-3-1","44-3-2","44-3-3","44-3-4","45-3-1","45-3-2","45-3-3","45-3-4","46-3-1","46-3-2","46-3-3","46-3-4","47-3-1","47-3-2","47-3-3","47-3-4","48-3-1","48-3-2","48-3-3","48-3-4","5-1-1","5-1-2","5-1-3","5-1-4","6-1-1","6-1-2","6-1-3","6-1-4","7-1-1","7-1-2","7-1-3","7-1-4","8-1-1","8-1-2","8-1-3","8-1-4"
"0e66c436190f29aeb8cfce2d5690846c",NA,0.488663388641512,-1.65943504597025,0.393111463148595,NA,-0.887466521711893,NA,NA,NA,0.0814362006834352,NA,NA,NA,1.2198726532805,0.299127522625448,0.869067319990222,NA,-0.736768631152727,-0.467884854526856,0.0170262699128498,NA,-0.273373132337174,1.49064083162467,0.566878904548614,NA,-0.758971405582286,0.878842721338125,1.05887835314445,NA,-0.260851223959832,-0.908840317161691,1.15518377958706,NA,NA,NA,NA,0.144988626682083,NA,NA,NA,NA,NA,NA,NA,NA,-2.13219114822917,NA,NA,0.147646926978487,0.958085226465977,1.35172136686309,1.3536734369445,-0.530663671862034,-2.1116326738647,0.553248570734676,0.787817112897145,NA,NA,NA,NA,1.08711115240056,-0.407728552328565,NA,NA,NA,NA,NA,NA,NA,-2.82140165777065,NA,NA,NA,NA,NA,NA,0.546635506109015,-0.843778691368975,NA,NA,-2.17164273362497,0.0326021866596559,1.69233875952667,1.46576047524258,NA,-0.408492224648928,NA,NA,NA,NA,-0.705209155876432,-0.16604489256381,-0.0954483899224037,-0.637090426201533,0.42929662715393,1.41621997912753,0.536656792351598,NA,NA,NA,NA,NA,NA,NA,0.728463715646825,-2.98620776596126,-2.59467373308918,NA,-0.386846712464674,NA,NA,NA,0.129053264736283,0.226812211805176,0.691011355022666,0.913015988771336,NA,NA,NA,NA,NA,0.387444228751331,0.70754630745564,0.852849740360607,NA,NA,NA,NA,NA,NA,1.2288770205585,1.63195691571015,-1.08968750815434,NA,NA,NA,-0.457449027625916,NA,NA,NA,-0.0390125224755952,NA,NA,NA,0.0317877167000428,NA,NA,NA,-0.18063418466751,0.946550762495213,-1.60768466406129,-0.400806407219648,0.355831649603793,-0.201217084656934,2.03486561639635,1.53408090520392,-0.401136073901117,-0.166021314478408,-0.279499443612891,1.48199216070555,-0.660372687011484,NA,0.917444372629217,-0.457014919933342,NA,NA,0.922053030782619,1.28994388366351,-2.95769165343333,NA,NA,NA,NA,1.12473358809327,-0.304642806689192,0.0944918599016785,-1.12281001777295,-1.02108716473442,0.528639356295261,1.38927964760202
"0ba4b95645d704e2c86e9a9785563976",NA,1.27097534849348,-0.757105412660484,-0.193710650101238,NA,-0.10291992405851,-1.40927718127136,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.376507459923411,NA,-0.595174638398248,-1.13411015205396,-1.27228629606127,1.53807874336813,1.17273713973672,0.787895814945438,-1.02102281342638,0.900221222673533,1.18980786839789,1.60037503236682,NA,NA,NA,NA,NA,0.000778881122674963,-2.10348941254822,-1.713089228015,NA,-1.1168864422457,NA,NA,NA,-0.877473342430111,NA,-1.68937505523,NA,NA,NA,NA,NA,NA,NA,-1.80213844330388,-0.152404889068279,1.39338664488945,1.58405652881757,1.71212565292569,NA,NA,NA,-1.32346750294895,NA,NA,NA,NA,NA,1.03234176685096,-1.27490852083011,0.109710681305795,1.02975811991072,0.645877333000653,-1.29496162541712,-3.37386739243863,1.90299815871716,0.375871983521964,-0.373148928881021,-2.86464946272155,NA,-0.65657514533793,-0.689856720668411,-0.224719279306596,0.36481742470927,-0.587494715475049,1.28949957652892,1.48851458924579,NA,NA,-0.138682475373915,0.174764878318386,NA,NA,NA,NA,NA,0.0381817564728869,0.650901599902308,1.52150283685919,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.697583771531604,NA,-1.94527293583399,NA,NA,NA,NA,1.20945816395855,-0.624877296130265,0.113520569201717,0.257903004765382,NA,1.28408148630921,-0.58527664406381,0.619908578360103,NA,-0.625364628327463,-0.298940083883666,-0.853664177348389,NA,NA,NA,NA,0.726769471417377,1.2280874928211,-0.0341773176122995,0.979369475464232,NA,-0.189173471160365,NA,NA,-0.217494916209341,-0.744797037352224,-2.69280809907886,-1.83797163992728,0.837999302849881,0.680813296115591,-0.883045207046594,-2.35306474645371,NA,-0.00747112769913858,-1.6282378505869,-0.689548113752094,NA,1.17442534825719,0.393257257916589,0.558681639930067,1.22013388732432,0.818895584309215,1.06494333139825,1.73270359773873,NA,1.02844474163252,1.13952093291526,0.977193345992579,NA,-1.42816006099324,-0.0503173065589793,0.91395872310612,NA,0.107197464210908,0.901540668731009,0.286854729272699,NA,NA,1.05389677744773,1.2400603953516,NA,NA,-0.016679476086257,1.49945034977326,1.12107808281531,0.143606733042834,0.431790597925104,NA
"bf2dc60c1cb85528026c80a5050fe9c9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537302462291952,-1.19031231769974,-1.10356258810802,NA,-0.901768620171499,-0.187445579226118,NA,-0.426471620647142,-0.0529855394773424,NA,0.279428798174171,-0.953689905612292,0.191226809240098,NA,-0.258188679304934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.561553299866102,-1.30971501842887,NA,-1.30313766605299,0.475678203006367,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.732755694118426,NA,NA,NA,NA,NA,NA,-0.0607878365103801,NA,NA,NA,NA,-0.273440233751376,-0.28218070016574,NA,NA,0.963245356266566,NA,-0.566737133320762,NA,-0.340245710828565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.255251625704693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587980978732222,NA,0.136918083049882,0.0608143790588236,NA,NA,-0.924178304619911,0.32590782872171,-0.421279677609055,NA,NA,NA,NA,NA,0.108803632085881,NA,NA,NA,0.112795853829446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.430792298954957,NA,NA,-0.226798182907848,NA,NA,0.943736946194745,0.982808872873825,NA,NA,-0.0438871673826354,0.61570931505034,0.398787564197906,NA,NA,-0.709683997315754,-0.533328516941239,-0.461499781949624,0.170851322151073,NA,NA
"9524c2a4a4d45552adf0544946d7a36e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.564417889275367,NA,NA,-0.942530959701011,NA,NA,-0.874755355182047,0.200385396937716,NA,NA,0.106884105619062,0.449334927102535,NA,NA,NA,NA,0.0878929796220159,-0.420746399410786,-0.327790115745463,0.0626100687877572,NA,0.946494927008837,-0.209881974874152,0.53512184717313,-0.0732211349728911,0.867454295705893,0.48867961674879,0.779471422132709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955239561009985,0.0752725632774713,0.635424125871219,NA,NA,NA,NA,NA,NA,NA,NA,-0.186760984072389,-0.603554887900345,-0.297777295510281,0.726062721741738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27045524905691,-0.758720504211945,0.0368357749599861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155922272831909,-0.551724741538087,0.439123372804852,-0.0227864684148909,0.568452464874461,-0.146543711645008,0.913119223794151,NA,-0.690881002546897,NA,0.70112076786117,-1.30457048758006,0.557614483188032,NA,-0.212773299762963,1.02293018356976,0.938515184244601,NA,NA,NA,NA,-0.477684859114702,NA,0.471567793938132,-1.26016083835503,NA,NA,NA,0.0961357360806787,NA,NA,NA,NA,NA,0.496602399893777,0.0885365220641235,-0.827817731820707,NA,NA,NA,NA,NA,NA,NA,NA,-0.23654055688848,0.0475038529440016,0.585629462295205,0.897622997037119
"f25dc778de80470fc84a5a85e5d0041c",NA,0.149033967243894,NA,NA,1.328731792464,NA,NA,NA,-1.83713270330966,-2.26067372125789,-1.85477973829947,NA,-1.0316827186697,-3.2402124743429,NA,NA,-2.72235586039975,-0.622142780272748,-0.9128747915823,0.537117228900993,0.733217930951455,-0.56421238956536,-1.13557334142055,1.32586177181911,0.935691249416918,0.687881585147307,0.43385278428268,1.6129630679483,0.800839892033,NA,NA,NA,1.80115601940552,NA,NA,NA,-0.225893338219639,NA,NA,NA,NA,NA,NA,NA,0.264059543389418,NA,NA,NA,1.19180873648264,0.964497492705722,-0.162893321987215,0.36506805330007,0.531343497962131,0.0824347186951125,1.58201230012771,NA,-0.465105388791968,NA,NA,NA,2.74462524114299,NA,-2.20692747512899,NA,-0.103749580957983,NA,NA,NA,-0.0521851355170035,NA,NA,NA,-0.360612143522201,NA,NA,NA,0.974918915844034,NA,NA,NA,-0.02013495548395,-0.333744623076675,0.316873455605118,-0.179112280887276,0.479961404541883,-0.673355995473853,NA,NA,NA,0.569468499384801,0.325707426877702,NA,1.02598220037256,-1.50329382833328,NA,-1.59591470595289,0.860632872413451,NA,NA,NA,0.949411439332463,NA,NA,NA,0.298362391085131,NA,NA,NA,0.720169213828106,-1.45871554703711,NA,NA,1.03367612216612,-0.837216933656491,0.608926911656589,-0.202897992059343,1.02710518995827,1.13058234880592,-2.18391064270993,-2.25501888619158,1.11325276683823,NA,-0.0212572252736649,NA,1.14950069167085,-1.33733129693874,NA,NA,0.437043170275732,-0.431171127641447,-0.00810593169352702,NA,0.776692477339993,NA,-1.66989881577328,NA,0.548149747143927,NA,NA,NA,-0.0869056010933916,NA,NA,NA,0.512876517884916,NA,NA,NA,2.18804971831185,-0.829673758497095,NA,NA,NA,-1.00288196565111,-0.705540924174524,1.61451539133561,0.514850542179039,-1.59184050454558,-1.05217678773382,1.95877617693879,2.31301958234933,-0.647247925509185,-0.262656944085205,0.0484772396336481,0.702466176087692,-0.275041210110715,-1.22210358867306,-2.00492644993336,2.0695890831827,NA,-0.473641299514656,NA,-0.0989432121791325,-2.25714812249323,2.17608154290716,0.759948669161347,1.19642051774087,-0.148775612156928,NA,NA
"fe8c5639ffbd6eb45b37ec4047660eae",NA,NA,NA,-1.75390382336578,NA,NA,NA,NA,NA,NA,NA,-3.4159881368964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17663370923556,4.72859229380481,4.00173580081783,1.02546546246338,NA,NA,NA,NA,NA,NA,NA,NA,-2.38467709017428,-1.06764170307614,NA,NA,-2.49282287316603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25867059005348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85282277364404,-1.86982728529132,NA,-3.03694058081729,NA,NA,NA,NA,NA,NA,NA,-2.85820693325495,0.207047994494504,1.59196389074777,0.460674796644521,NA,NA,NA,NA,NA,NA,NA,-1.65075476828299,NA,NA,NA,NA,NA,NA,NA,-2.95286414628095,NA,NA,-2.0295401404034,-2.6118330710666,NA,-2.23198491730199,NA,NA,-2.5246368560868,NA,NA,NA,NA,0.298927059314219,3.3229674281353,4.95742087208696,2.14663861598419,NA,NA,NA,NA,-2.05713189679489,4.07870588727605,2.49807820840595,2.80424368207831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81588118483573,-1.28333896308478,NA,NA,NA,NA,NA,-3.11475022350048,NA,NA,NA,NA,NA,NA,NA,NA,3.73997143397661,4.23313465647697,3.11772064906232,NA,NA,3.36685155346398,NA,3.44235186346319,-2.23452695884041,NA,4.07684145343659,NA,NA,-1.92299933829937,NA,NA,NA,-2.29915430233107,NA,NA,NA,NA,NA,NA,-3.57243302695578,NA,-1.83397227589794,NA
"a6197b4304d22c8fce08333886e1ef57",NA,NA,NA,NA,NA,0.0443985661103111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67840231499859,0.910716493081481,NA,NA,-0.837285733440672,NA,NA,NA,NA,NA,NA,1.00575617780626,NA,1.46214145278252,1.34478061064283,1.89752655942973,NA,0.589930123570535,-0.282194488807729,-1.2780886653944,NA,0.927552032809,-0.451968420388199,-0.805576887009026,NA,-1.45407369148799,NA,-1.65983960071756,NA,NA,NA,NA,NA,NA,NA,-1.59028143199749,-1.73230734698994,-0.774302477934334,0.759176655173943,0.397926360737029,NA,-0.31168618352176,-1.17920169584219,0.315505863997591,NA,0.728930948139651,0.807536339149459,-0.190193149688381,NA,NA,NA,NA,NA,0.913823810958089,0.238651225871589,-1.55257246869814,NA,0.0281132068929336,0.258561927985636,-1.04335453898106,NA,NA,NA,NA,NA,NA,NA,1.3489737137143,NA,NA,NA,NA,NA,NA,NA,0.323987442979354,-1.29709206505031,-0.280589483282891,-0.823640342361528,0.214576303999617,NA,0.524413981701792,NA,-1.29172590371032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0911558989059,-0.793811187052134,-1.4124009851433,0.428274266631007,0.326366019360414,NA,-0.715261582839786,0.381249793156999,-0.527502339952779,NA,0.592565714971645,0.245102536133953,-0.531769822713219,-0.0337057504406904,0.392438115110193,NA,-1.00831935350787,NA,0.105348514101514,1.42609482129281,1.14783288237793,NA,NA,NA,0.982659365918919,0.271217818436002,0.036328948612976,NA,-0.656776333199359,NA,NA,0.672365328513404,NA,NA,NA,0.762740808424232,1.00953736434508,NA,NA,0.806221459375682,1.22433925827591,NA,NA,NA,NA,NA,NA,NA,NA
"748f7f058eb6561ac95f2438c00263bb",1.16833181031715,-0.10938733825384,0.421494270633768,-0.971057820216132,-0.42259360921188,-2.75973214382056,0.0393049973752738,-1.68738741496159,-0.310056300803318,-1.70941402993973,-1.01583797452953,-0.642969894462212,0.434385124562397,-2.72285433470042,-2.69854858130606,-1.87154957170349,-0.344756366256752,0.879369798819384,1.66360488724906,-0.361910301970981,0.161070674988291,0.331143463484675,0.976634053171281,-0.662593423145727,0.0598345850949348,0.894954171444943,-0.264645752392771,-0.423077925214267,0.608243732799155,0.101984215558214,-1.70781145858654,-0.794937341862199,1.08801116721283,-1.03006612425407,-1.77083897176988,-1.02439297197549,0.643213839882031,-0.0616521486122867,0.0443566815415491,0.96629121174791,0.23538787406222,-0.875935029642229,-0.155389956159232,-0.642829801697461,0.533042580822707,-1.93364611785728,-2.36290904676209,-2.57393308574757,-1.53839849792057,0.65953069289238,0.87353224631636,0.266665675998027,0.41894876294496,1.85091244108923,0.257005842843194,0.430678723751332,0.578476454727626,0.6007993156329,0.792371381256943,0.675266670602157,-0.254230382071463,0.918968789786584,0.556262940915092,1.44168775610116,-0.296930364587316,-1.7069914765991,-1.38292682335291,-2.15383170344191,1.5010600087802,-1.40830171374229,-2.25845444876437,-1.89551305545833,-0.610951340991484,0.603860476606619,-2.01441545867358,-0.376878415877613,0.778764755243699,0.913446380168195,-1.58806167851931,-1.90070224605692,1.14081153938764,0.90080995235842,1.65311224291123,0.458033816253334,-0.117761552197014,-2.33873896734901,-2.61057235664196,-1.88954368666341,0.202232631872658,-0.418328924969337,-0.237774552402129,0.591536803098099,1.4233582702173,1.52962650945903,0.738507225413338,0.628696223543024,1.45289232022905,0.583079213711696,0.822464581543901,-2.0747230433483,0.23735888653838,0.736673574336462,-1.64475893285242,-1.36270252736465,0.880741991117098,0.0394830095608167,0.652059752638298,-0.349313356779424,0.579430489790197,-1.58173455197451,-1.92359946352355,-2.70305421228974,1.15454729692367,1.1424915585356,1.54169554222712,1.68504825433894,0.39059988717735,-0.229666682213903,1.0363118610024,-0.456966393364549,1.4504187423621,1.07802238353984,-0.332576726583405,0.223466045781002,0.39962383020943,-1.4043174780074,-1.70784015965384,-1.55911928256074,1.17683117023032,1.31148258579579,1.61411451696224,1.61422823800707,0.900825563768813,0.401061010912478,0.392818379618776,0.740753927649898,1.00397104531058,-0.522879074233599,-0.918803519997603,-1.74112314733507,1.39001257210253,-0.899228376893403,-1.03093590081677,-0.996501466527333,0.697126661453583,-0.677354178961335,0.691683672071617,0.0538561750924155,0.626537690444885,0.380112912734409,0.274820644163558,0.0577413838354712,1.23947312158377,1.81317441259944,1.41433468505748,0.272512383167653,1.12984715138544,1.44061525716405,1.11469220992299,-0.278954572366632,0.911079623697836,0.13747228409412,1.50647845672788,1.289938601282,0.911649722888274,0.565981719863053,0.691352912185937,1.36024383318649,0.882072347702271,0.36832952652294,0.44985785228335,0.313414633909782,-0.966066196532361,0.374941035779615,-2.03283469790976,-0.912239411955813,-1.01515233823538,0.78972864115587,1.05700286987977,1.58549763852768
"85c7e2d475a0800be67a7b9dda2173c2",1.55633929790488,NA,NA,NA,-0.820423965100867,NA,NA,NA,2.09866642932079,NA,NA,NA,NA,NA,NA,NA,0.507873571672199,0.787506744035653,0.355696134466196,-1.54421593232512,0.00708854377520556,-0.730725988806187,0.197536105765519,-0.989086240588509,0.68579604123704,0.74005718687131,1.04564417394211,-0.963280261737899,-2.43039885224877,NA,NA,NA,1.11762482615079,NA,NA,NA,0.531851964062866,NA,NA,NA,0.865538933350152,NA,NA,NA,1.38388520817756,NA,NA,NA,0.815223667494958,-0.11830683840926,0.764751017090688,NA,-2.49737098220816,0.540075428527279,0.0894231997600451,-0.654819346932975,1.11854658389642,0.715009650488072,-1.25111815050046,0.0204458580251039,NA,0.944696565933155,-0.93835654908049,0.654181127527497,1.46629673967463,NA,NA,NA,2.53931053771879,NA,NA,NA,NA,NA,NA,NA,1.74117490779445,NA,NA,NA,0.272426003988769,-0.91755778807267,NA,NA,1.12865735113676,NA,NA,NA,0.417927181922311,0.382752192826455,-0.238303110822112,-1.13422337279881,1.33904168139362,1.15157145883511,0.0207339348543492,-0.95595243932677,0.861515179749903,NA,NA,NA,2.32334288103878,NA,NA,NA,0.433229708654247,NA,-2.31008924482881,NA,-0.685408509549927,NA,NA,NA,-2.27760532978918,0.313570956735621,-1.66346148633223,-0.518447170460658,1.31876076231618,0.880687140626038,1.79271048444078,-0.698765887691299,-0.644680239334017,-0.357590700169463,-1.67045703130945,-0.490580069386065,1.26681559556582,-0.879690587106569,NA,NA,0.0122946999094246,-0.548894562712842,1.29031795750465,0.446365558869922,NA,NA,NA,NA,0.232600568742613,NA,NA,NA,NA,NA,NA,NA,-0.616447828864958,NA,NA,-1.36791788061793,0.988152720915509,0.844362275659565,0.609737891687038,1.07591642771965,NA,0.0833674036034303,-0.535582286794138,-0.881016557967414,-1.59245810545033,-1.13419979471341,-0.0555395771689616,-1.42183996841758,1.15892616748704,NA,0.4950883581973,-0.823017997814127,1.67679762913825,-0.105082572730329,NA,0.467617280441069,0.75006912320796,-0.327086856934773,-0.497838676575228,-0.821658222404375,NA,1.0626934682684,-1.64602553281414,0.512607740786565,0.479075960120353,-2.05825851645638,NA,-0.10952708369515
"cd7d9cc4cde2f2b83f0eb6b6526c0602",1.99084272824096,-0.154426447243282,-0.0846810173160891,-0.648886080298205,0.133273338671716,-1.55872723456338,-1.81971671762693,-1.3546640183922,0.128090423521525,0.431598137808923,-0.800116668633456,-0.867517618868993,0.53380597476231,-0.0371149915100964,-1.02754004280314,-0.361809180796692,1.43625306746049,0.0205405002639112,-0.0993737787331703,0.860314253704928,0.344599708123971,1.11496935427151,0.101411285039424,1.9047905375304,-0.54048942589209,0.489781686317957,0.276574879973585,1.11100823742157,0.698050173007975,-0.46948841486321,-2.60175227754516,-1.15740820947448,1.01526945567406,-0.00419554712473705,0.278002736179114,-0.133943551812603,-0.449311045033279,-0.023248581825005,-0.77416037559983,-1.53323395032882,-0.724510912688198,-0.476982662569359,NA,NA,0.852197248186025,NA,-2.48365997748723,-0.57268286037408,0.993708837653291,1.17186270198454,0.169635030245605,2.03877033137231,0.1049849471518,-0.403347252586019,1.21017458819579,0.905013760409924,1.2213359150577,-0.0585139938298288,-0.80824647049387,-1.32844193119636,1.2696826773096,-1.7904855844082,-1.59409715774201,0.622594827938973,-0.707314587895497,0.251699134355597,0.00797133922911608,-0.406089370707608,-0.304352255616629,-0.265818376104764,NA,-1.87476442390977,1.3034282236383,-0.476400305112651,NA,NA,-0.0476641656063482,-0.661549573585341,-0.429127983182818,-0.309736415227544,0.419031867852189,1.0293912887102,-0.0147578358487555,0.621316650394501,0.515476356894037,-0.322889942554366,-2.10531540964478,-0.972306950536874,1.42569170696517,0.420158764724883,-0.383218095717639,-0.942666121073128,-2.02474912837011,-0.315099366042741,0.463605614860942,1.33274593117815,-0.253757758290055,-1.14770469045885,-1.50300591692164,-1.32623578647017,-0.347300748164998,-0.579681911044096,NA,-3.14168153469332,1.34312438976844,0.262522696264571,-0.193241131250549,0.311515734392389,0.0451452429084467,0.540409131469759,-0.295410922203563,-0.212857772331518,0.433949891535775,-0.475701044550419,0.319855234621512,-0.0755754904540656,0.55301925844033,-0.0201759260684645,-0.367107520997012,0.984892569763946,0.357807228607998,0.555284609082865,1.38737442673334,0.239973683072309,0.931982706984399,-0.619140463893931,-1.69981030051305,-1.32021464120901,-0.420302357437883,-0.511487990814414,-0.119194453533248,0.378411615110523,0.0366763676746211,0.56799215263912,0.511547419527541,0.25548849242969,-0.0748333456506887,-0.344306357491471,-1.19370513055,-1.66062451138074,-0.00470353476858365,-0.268622740972672,-1.17570170774579,-1.10527620620576,-0.66605263395616,-0.777051700488641,NA,-1.73597641682767,-0.500497010681112,0.476303739449829,-0.100069938244755,-0.427122041329071,0.424373808953048,0.909231335866129,-0.179721983777175,1.39443658578749,0.316750643349689,0.155969745680385,0.205010546043676,1.75828106738348,-0.225052941545689,0.00195003604866789,0.733165625557879,0.513671558214562,-1.51791685058155,1.44867148853619,1.42137810622433,0.505023852339497,0.984185989352443,1.00308801807272,1.25721939239753,1.56712360665753,0.645223107268933,0.183809308292677,2.07189224352771,1.17862297210737,0.739626083332992,0.544097412903587,0.426816169677692,-0.295264063110932
